	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
Y33	4	5	2	2	1	4	2	5	6	4	2	3	5	7	3	1	2	4	7	2	1	5	6	2	6	1	6	5	1	5	3	3	2	6	3	4	5	6	4	5	3	4	6	3	1	4	2	6	1	1
Y34	4	5	3	2	1	3	3	5	6	4	2	3	5	7	4	1	2	4	7	2	1	4	6	1	6	2	6	5	1	5	3	4	3	5	1	3	6	6	1	5	2	5	6	4	1	3	3	6	2	2
Y35	4	5	3	1	2	4	2	5	6	4	1	2	5	7	4	2	1	4	7	1	1	4	6	1	6	2	6	5	2	5	3	3	3	6	3	4	5	6	3	5	3	5	6	4	2	3	2	6	1	1
Y36	4	5	2	3	2	4	2	5	6	4	3	3	5	7	3	1	1	4	7	2	1	4	6	1	6	1	6	5	1	6	3	4	2	5	1	4	5	6	3	5	2	5	6	4	2	3	2	6	1	2
Y37	4	5	3	1	1	4	2	5	6	4	1	3	5	7	3	2	1	3	7	2	2	4	6	1	6	1	6	5	2	5	3	4	3	5	1	4	6	6	4	5	2	5	6	4	1	3	2	6	2	2
Y38	4	5	2	3	1	3	3	5	6	4	3	1	5	7	4	1	1	4	7	1	1	4	6	2	6	1	6	5	2	6	3	4	2	5	2	3	5	6	4	5	3	5	6	4	1	2	3	6	1	2
Y39	4	3	3	2	6	4	3	6	1	4	4	3	6	2	1	1	3	6	1	1	1	3	4	2	5	6	5	3	4	7	2	5	4	6	6	3	7	5	5	4	2	6	2	2	4	2	1	3	1	5
Y40	5	3	3	2	6	5	3	5	2	4	4	1	6	1	2	1	2	6	3	2	3	1	5	2	6	6	4	3	4	7	2	5	5	6	6	3	7	4	4	4	1	6	1	3	5	1	2	3	1	5
Y41	5	1	4	1	6	5	3	5	3	4	4	1	6	1	2	1	3	6	3	1	2	2	4	2	6	6	4	1	3	7	1	5	5	6	6	4	7	5	5	4	2	6	2	3	4	2	2	3	3	5
Y42	5	2	3	2	6	5	3	5	3	4	4	2	6	1	1	1	2	6	2	1	2	1	4	1	6	6	4	2	4	7	2	5	5	6	6	3	7	5	4	4	3	6	1	3	5	2	3	3	1	5
Y43	5	1	2	2	6	5	3	6	3	4	4	3	6	3	1	1	2	6	3	3	2	1	4	1	6	6	4	1	4	7	2	5	5	6	5	2	7	5	4	4	3	6	1	2	5	1	4	3	2	5
Y44	4	3	4	1	6	4	1	5	1	4	4	2	6	3	1	3	2	6	3	2	3	2	4	1	6	6	5	3	2	7	1	5	4	6	6	4	7	5	5	4	3	6	1	3	5	1	2	1	2	5
Y45	5	2	2	1	6	5	1	5	3	4	4	3	6	2	1	3	3	6	3	3	2	1	4	2	6	6	4	2	4	7	1	5	5	6	6	2	7	4	5	4	3	6	2	4	5	1	3	1	1	5
Y46	5	1	3	1	6	5	3	5	3	4	4	2	6	2	1	1	2	6	4	2	2	3	4	1	6	6	4	1	4	7	1	5	5	6	6	3	7	5	5	4	3	6	1	3	4	2	2	3	2	5
Y47	5	2	1	3	6	5	1	5	3	4	4	1	6	3	3	1	3	6	2	3	2	1	4	1	6	6	4	2	4	7	3	5	5	6	6	1	7	5	5	4	4	6	1	2	4	2	3	1	2	5
Y48	4	1	2	3	6	4	1	6	1	4	4	2	6	2	1	2	3	6	4	1	1	3	4	3	6	6	4	1	2	7	3	5	4	6	5	2	7	5	5	4	3	6	2	3	5	2	4	1	3	5
Y49	5	2	3	1	6	5	4	5	1	4	4	3	6	3	1	2	3	6	3	2	2	3	4	1	6	6	4	2	3	7	1	5	5	6	6	3	7	5	5	4	2	6	2	1	4	1	2	4	1	5
Y50	5	2	3	1	6	5	4	5	1	5	4	2	6	3	1	3	1	6	3	2	2	3	4	1	6	6	4	2	3	7	1	5	5	6	6	3	7	5	4	4	1	6	2	2	4	1	3	4	2	5
Y51	4	1	2	3	6	4	4	5	1	4	4	2	6	3	2	3	2	6	1	1	1	2	4	3	6	6	5	1	1	7	3	5	4	6	6	2	7	5	5	4	3	6	3	1	4	2	3	4	2	5
Y52	5	2	3	2	6	5	2	6	2	4	4	3	6	3	3	1	1	6	4	2	1	2	4	1	6	6	4	2	4	7	2	5	5	6	5	3	7	5	4	4	3	6	1	1	5	1	3	2	1	5
Y53	5	2	3	1	6	5	4	5	1	4	4	2	6	3	2	1	3	6	1	2	2	2	4	2	6	6	4	2	3	7	1	5	5	6	6	3	7	5	4	4	3	6	1	1	5	2	3	4	1	5
Y54	5	2	3	2	6	5	3	5	1	4	4	3	6	3	2	1	1	6	4	1	3	2	4	1	6	6	4	2	4	7	2	5	5	6	6	3	7	5	4	4	2	6	2	1	5	2	1	3	1	5
Y55	5	1	3	2	6	5	2	5	3	4	4	1	6	3	1	3	2	6	2	2	2	1	4	1	6	6	4	1	4	7	2	5	5	6	6	3	7	5	5	4	3	6	1	3	4	1	3	2	3	5
Y56	5	1	2	2	6	5	4	5	2	4	4	3	6	3	1	2	1	6	1	1	1	3	4	1	6	6	4	1	4	7	2	5	5	6	6	2	7	5	5	3	3	6	1	3	4	3	2	4	3	5
Y57	4	2	3	1	6	4	3	5	2	4	4	1	6	2	1	2	3	6	4	1	2	2	4	1	6	6	4	2	4	7	1	5	4	6	6	3	7	5	5	3	2	6	2	3	5	1	3	3	1	5
Y58	5	1	4	2	6	5	3	5	2	4	4	3	6	3	2	1	2	6	2	1	2	3	4	1	6	6	4	1	3	7	2	5	5	6	6	4	7	5	4	4	3	6	1	3	5	1	2	3	1	5
Y59	4	3	3	1	6	4	3	5	2	4	4	2	6	2	1	2	2	6	3	2	1	1	4	2	6	6	4	3	4	7	1	5	4	6	6	3	7	5	5	4	2	6	1	3	5	1	3	3	1	5
Y60	5	2	4	1	6	5	2	5	3	4	4	3	6	3	1	3	1	6	3	1	1	1	4	3	6	6	4	2	2	7	1	5	5	6	6	4	7	5	5	4	3	6	1	2	4	2	1	2	2	5
Y61	5	1	3	2	6	5	2	5	2	4	4	2	6	3	1	3	1	6	3	2	1	3	4	2	6	6	4	1	3	7	2	5	5	6	6	3	7	5	5	4	4	6	1	3	4	1	3	2	1	5
Y62	5	2	4	2	6	5	2	5	3	4	4	1	6	2	1	3	2	6	3	1	3	3	4	3	6	6	4	2	3	7	2	5	5	6	6	4	7	5	5	4	1	6	1	1	4	1	3	2	1	5
Y63	5	3	3	2	6	5	3	5	1	4	4	3	6	2	1	2	1	6	4	2	1	1	4	1	6	6	4	3	4	7	2	5	5	6	6	3	7	5	5	4	3	6	2	2	4	1	2	3	1	5
Y64	4	2	3	1	6	4	3	5	2	4	4	1	6	1	3	2	3	6	3	1	2	2	4	2	6	6	5	2	4	7	1	5	4	6	6	3	7	5	5	4	1	6	2	2	4	1	4	3	1	5
Y65	5	1	2	1	6	5	3	5	1	4	5	1	6	2	1	3	2	6	3	1	3	3	4	2	6	6	4	1	4	7	1	5	5	6	6	2	7	5	4	4	4	6	2	3	4	2	2	3	3	5
Y66	5	1	3	1	6	5	1	5	3	4	4	3	6	2	2	3	3	6	2	1	3	2	4	2	6	6	4	1	4	7	1	5	5	6	6	3	7	4	5	4	3	6	1	3	5	1	2	1	2	5
Y67	5	2	3	2	6	5	2	5	1	4	4	3	6	1	3	1	3	6	2	3	1	2	4	1	6	6	4	2	4	7	2	5	5	6	6	3	7	5	5	4	3	6	1	3	5	3	1	2	1	4
Y68	5	1	3	2	6	5	1	5	3	4	4	1	6	4	2	1	1	6	4	3	1	3	4	2	6	6	4	1	2	7	2	5	5	6	6	3	7	5	5	4	3	6	2	3	4	2	2	1	3	5
Y69	5	1	2	2	6	5	3	5	2	4	4	3	6	1	1	1	3	6	4	1	3	2	4	2	6	6	4	1	4	7	2	5	5	6	6	2	7	5	5	4	3	6	1	1	4	2	3	3	2	5
Y70	5	2	3	2	6	5	1	5	3	4	4	3	6	3	2	2	3	6	4	2	1	1	4	1	6	6	4	2	4	7	2	5	5	6	6	3	7	5	5	4	1	6	1	3	4	3	2	1	1	5
Y71	5	2	3	1	6	5	3	5	3	4	4	1	6	2	3	2	2	6	4	1	2	2	3	1	6	6	4	2	4	7	1	5	5	6	6	3	7	5	4	4	4	6	1	3	5	1	2	3	1	5
Y72	5	2	1	1	6	5	3	5	2	4	4	2	6	2	1	2	3	6	4	1	1	3	4	2	6	6	4	2	3	7	1	5	5	6	6	1	7	5	4	4	4	6	3	3	5	1	2	3	3	5
Y73	5	1	3	1	6	5	3	5	2	4	4	1	6	2	2	2	3	6	3	3	1	3	5	1	6	6	4	1	3	7	1	5	5	6	6	3	7	4	5	4	4	6	2	2	4	2	1	3	2	5
Y74	5	2	3	1	6	5	2	5	3	4	4	2	6	1	1	1	3	6	3	1	3	1	4	2	6	6	4	2	4	7	1	5	5	6	6	3	7	5	4	4	4	6	3	3	5	1	2	2	2	5
Y75	5	1	3	2	6	5	2	5	3	4	4	1	6	1	3	2	1	6	4	2	1	3	4	2	6	6	4	1	3	7	2	5	5	6	6	3	7	5	4	4	4	6	2	3	5	1	3	2	1	5
Y76	5	2	3	1	6	5	4	6	1	4	4	3	6	3	2	3	1	6	1	2	2	1	4	1	5	6	4	2	2	7	1	5	5	6	6	3	7	5	4	4	2	6	3	3	5	2	2	4	1	5
Y77	5	3	3	2	6	5	3	6	2	4	4	3	6	1	3	1	1	6	2	2	1	1	4	1	6	5	4	3	4	7	2	5	5	6	6	3	7	5	4	4	1	6	2	4	5	2	1	3	2	5
Y78	5	2	1	4	3	3	2	6	6	6	3	7	3	1	5	5	6	6	3	4	1	2	3	5	4	5	1	4	5	5	2	2	1	5	4	2	2	3	4	4	7	3	1	2	1	6	1	4	6	6
Y79	4	1	2	4	1	2	1	6	6	6	1	7	3	1	5	5	6	6	4	4	2	1	2	4	4	4	1	4	6	6	3	3	3	5	4	3	2	3	5	5	7	2	2	1	2	6	1	3	5	5
Y80	5	1	2	4	3	2	1	6	6	6	3	7	1	2	5	5	6	6	4	2	2	1	2	4	4	5	2	4	5	6	3	3	3	5	4	3	1	1	4	5	7	3	1	1	2	6	2	4	6	5
Y81	5	1	1	4	3	3	2	6	6	6	3	7	3	2	5	5	6	6	4	2	1	2	3	4	4	5	1	4	6	5	2	3	3	5	3	1	2	2	4	5	7	4	1	1	1	6	1	4	6	5
Y82	5	1	2	4	3	3	1	6	6	6	3	7	3	1	5	5	6	6	4	2	2	1	3	4	4	5	1	3	5	6	2	4	3	5	4	2	2	3	4	5	7	2	1	1	1	6	2	4	6	5
Y83	5	1	2	4	1	3	2	6	6	6	1	7	4	1	5	5	6	6	4	3	2	2	3	4	3	5	1	4	5	5	3	4	3	5	3	2	1	4	4	5	7	2	2	1	2	6	1	3	6	6
Y84	4	2	1	4	3	2	1	6	6	6	3	7	3	2	5	5	6	6	3	2	1	1	2	5	4	4	1	4	5	6	1	4	3	5	4	2	1	3	5	5	7	3	2	2	1	6	1	4	6	5
Y85	5	1	2	4	3	3	1	6	6	6	3	7	2	1	5	5	6	6	4	3	2	1	3	4	4	5	2	3	5	6	2	4	2	5	3	3	2	4	4	5	7	1	1	1	2	6	1	4	5	6
Y86	5	2	1	4	3	2	1	6	6	6	3	7	4	3	5	5	6	6	3	2	1	1	2	4	4	5	1	3	5	6	2	4	2	5	3	4	2	3	4	5	7	3	1	2	1	6	1	4	5	6
Y87	4	2	1	4	3	3	1	6	6	6	3	7	2	1	5	5	6	6	3	3	1	1	3	5	4	4	1	4	5	6	2	4	2	4	4	3	2	3	5	5	7	2	1	2	2	6	1	4	5	6
Y88	5	2	1	4	2	3	1	6	6	6	2	7	4	2	5	5	6	6	3	4	1	1	3	4	4	5	1	4	5	6	2	4	3	5	2	2	3	3	4	5	7	3	1	2	1	6	1	3	5	6
Y89	4	1	1	4	1	3	2	6	6	6	1	7	2	2	5	5	6	6	4	4	1	2	3	4	4	4	2	3	5	6	2	4	3	5	3	3	1	3	5	5	7	3	1	1	2	6	1	4	5	6
Y90	5	1	1	4	2	2	2	6	6	6	2	7	2	1	5	5	6	6	4	3	1	2	2	4	4	5	1	3	5	6	3	3	3	4	4	4	1	4	5	5	7	3	2	1	2	6	1	3	6	5
Y91	4	1	1	5	2	3	1	6	6	6	2	7	3	1	5	5	6	6	4	3	1	1	3	5	4	4	2	4	5	5	3	4	2	5	3	3	2	3	4	5	7	2	2	1	2	6	1	4	6	6
Y92	4	1	1	5	2	3	1	6	6	6	2	7	4	2	5	5	6	6	4	3	1	1	3	4	4	4	1	3	5	6	2	3	3	5	4	3	2	3	5	5	7	2	1	1	2	6	2	4	6	5
Y93	4	1	1	5	2	3	1	6	6	6	2	7	3	2	5	5	6	6	4	2	1	1	3	4	4	4	1	3	5	6	2	4	3	5	4	3	2	2	5	5	7	3	1	1	2	6	2	4	5	6
Y94	4	1	1	5	2	2	1	6	6	6	2	7	3	3	5	5	6	6	4	3	1	1	2	4	4	4	3	4	5	6	2	4	3	5	4	3	1	2	5	5	7	3	1	1	1	6	2	3	6	5
Y95	4	1	1	4	3	3	2	6	6	6	3	7	2	1	5	5	6	6	3	2	1	2	3	5	4	4	1	2	5	6	3	4	3	5	4	2	1	3	5	5	7	4	1	1	2	6	1	4	5	6
Y96	4	1	1	5	3	3	2	6	6	6	3	7	3	1	5	5	6	6	4	3	1	2	3	4	4	4	1	4	5	6	1	4	2	5	2	3	2	3	5	5	7	2	2	1	1	6	2	4	6	5
Y97	4	1	1	5	2	3	1	6	6	6	2	7	3	2	5	5	6	6	4	3	1	1	3	5	3	4	2	3	5	6	1	4	2	5	4	4	2	3	4	5	7	3	2	1	2	6	1	4	5	6
Y98	4	1	1	5	3	3	1	6	6	6	3	7	3	1	5	5	6	6	3	4	1	1	3	4	4	4	2	4	5	6	2	2	3	5	4	3	2	2	5	5	7	2	1	1	2	6	2	4	5	6
Y99	4	1	1	4	3	4	1	6	6	6	3	7	2	2	6	5	6	6	3	4	1	1	4	5	4	4	1	3	5	5	2	3	2	5	3	3	1	3	4	5	7	2	2	1	2	6	2	4	6	5
Y100	5	1	1	4	3	3	1	6	6	6	3	7	2	1	5	5	6	6	4	3	1	1	3	4	4	5	2	2	5	5	2	4	3	5	4	3	2	3	4	5	7	2	1	1	2	6	1	4	6	6
Y101	4	1	2	4	3	2	1	6	6	6	3	7	3	1	5	5	6	6	4	3	2	1	2	4	4	4	2	4	5	6	3	4	3	5	3	1	2	2	5	5	7	3	1	1	2	6	1	4	6	5
Y102	5	1	1	4	2	3	1	6	6	6	2	7	2	2	5	5	6	6	4	4	1	1	3	4	4	5	2	3	5	5	2	4	2	5	3	3	1	3	4	5	7	3	1	1	1	6	2	4	6	6
Y103	5	1	2	4	3	2	1	6	6	6	3	7	2	2	6	5	6	6	4	2	2	1	2	4	4	5	1	3	5	6	1	4	3	5	4	3	2	3	4	5	7	3	1	1	2	6	1	4	5	5
Y104	4	1	1	4	3	2	1	6	6	6	3	7	3	1	5	5	6	6	4	2	1	1	2	4	4	4	1	4	5	6	3	4	3	5	3	3	2	3	5	5	7	2	2	1	2	6	1	4	6	5
Y105	4	1	1	4	2	4	1	6	6	6	2	7	2	2	5	5	6	6	3	3	1	1	4	4	4	4	1	3	5	6	2	4	3	5	3	2	3	3	5	5	7	3	1	1	2	6	2	4	6	5
Y106	5	2	1	4	2	3	1	6	6	6	2	7	3	1	5	5	6	6	3	3	1	1	3	4	4	5	2	4	5	6	1	4	3	5	4	2	2	3	4	5	7	3	1	2	1	6	2	4	6	5
Y107	4	2	1	5	3	2	1	6	6	6	3	7	4	2	6	5	6	6	3	4	1	1	2	4	4	4	1	2	5	6	2	3	2	5	4	3	1	3	5	5	7	3	2	2	1	6	1	4	5	5
Y108	5	1	2	4	1	3	2	6	6	6	1	7	4	2	5	5	6	6	3	2	2	2	3	4	4	5	1	3	6	5	3	4	2	5	4	3	1	3	5	4	7	3	1	1	1	6	2	4	5	6
Y109	4	1	1	5	3	3	2	6	6	6	3	7	2	1	5	6	6	6	3	2	1	2	3	4	4	4	1	4	5	5	2	4	3	5	4	2	1	3	4	5	7	3	1	1	2	6	1	4	6	5
Y110	5	1	1	4	2	3	1	6	6	6	2	7	2	2	5	5	6	6	4	3	1	1	3	4	4	5	2	4	5	6	2	3	3	5	4	3	1	3	4	5	7	3	2	1	1	6	2	4	6	5
Y111	4	2	1	5	3	3	1	6	6	6	3	7	2	1	5	5	6	6	4	2	1	1	3	4	4	4	1	3	5	6	1	4	2	5	3	3	2	4	5	5	7	3	1	2	2	6	1	4	6	5
Y112	4	1	1	4	3	2	1	6	6	6	3	7	3	1	5	5	6	6	3	4	1	1	2	5	4	4	1	4	5	5	3	4	2	5	3	2	2	3	5	5	7	3	2	1	1	6	2	4	6	6
Y113	5	1	1	4	3	2	1	6	6	6	3	7	4	2	5	5	6	6	4	3	1	1	2	4	4	5	2	3	5	6	2	4	3	5	3	3	2	3	5	4	7	2	1	1	1	6	1	4	6	5
Y114	4	2	1	4	2	4	2	6	6	6	2	7	1	2	5	5	6	6	3	3	1	2	4	5	4	4	1	3	5	6	3	3	2	5	4	3	1	3	4	5	7	3	1	2	1	6	1	4	6	5
Y115	4	1	2	4	2	3	1	6	6	6	2	7	2	1	6	5	6	6	4	3	2	1	3	5	4	4	1	4	5	6	2	3	2	5	4	3	2	3	5	5	7	4	2	1	1	6	1	3	5	5
Y116	4	1	2	4	3	3	1	6	6	6	3	7	3	1	5	5	6	6	4	2	2	1	3	4	3	4	2	4	5	6	2	4	2	5	4	3	1	3	5	5	7	2	1	1	1	6	2	4	5	6
Y117	4	6	5	4	2	5	5	2	1	3	3	5	3	2	4	7	1	3	3	6	3	5	1	2	3	6	6	5	2	6	1	4	5	1	4	6	1	1	6	4	4	2	4	7	2	1	2	6	3	5
Y118	4	6	5	4	1	5	5	2	2	3	3	5	3	1	4	6	2	4	3	6	2	5	2	3	3	6	6	4	1	6	1	4	5	2	4	7	1	3	6	3	5	1	4	7	1	2	2	6	1	5
Y119	4	6	5	4	2	5	5	3	2	1	3	5	3	2	4	6	2	3	3	6	1	5	1	3	3	6	6	5	2	5	1	5	4	1	4	7	1	2	6	4	4	2	4	7	2	1	3	6	1	5
Y120	3	6	5	4	1	5	5	2	3	1	1	5	1	2	4	7	2	4	4	6	3	5	1	3	3	6	6	4	1	6	2	5	5	2	3	6	2	3	6	4	4	1	4	7	1	2	2	6	3	5
Y121	4	6	4	5	2	5	5	2	1	2	1	5	3	2	4	7	1	4	3	6	3	4	2	3	3	6	6	5	2	6	1	4	5	1	4	6	2	3	6	3	4	2	4	7	1	3	1	6	1	5
Y122	3	6	5	4	2	5	6	2	1	3	1	5	2	1	4	7	2	3	4	6	3	5	1	1	4	6	6	5	2	5	2	5	4	1	3	6	2	3	6	4	4	1	3	7	3	2	2	6	1	5
Y123	3	6	4	5	1	5	5	3	2	1	2	5	2	1	4	6	1	4	3	6	1	4	3	3	4	6	6	4	1	6	2	5	5	2	3	7	2	3	6	4	4	3	4	7	2	2	1	6	1	5
Y124	3	6	5	5	1	5	5	2	1	3	2	5	1	2	4	6	1	3	4	6	3	5	2	1	4	6	6	4	1	6	1	4	4	3	3	7	3	3	6	3	5	2	4	7	2	1	2	6	2	5
Y125	3	6	4	5	1	5	5	2	1	2	3	5	2	1	4	6	2	3	3	6	3	4	2	3	4	6	6	4	1	6	1	5	5	1	3	7	1	3	6	4	4	1	4	7	2	2	3	6	2	5
Y126	4	6	5	5	2	5	5	3	1	2	2	5	3	1	4	7	1	4	3	6	3	5	2	3	3	6	6	4	2	6	1	4	5	1	4	6	2	2	6	4	4	1	3	7	3	1	2	6	1	5
Y127	4	6	4	5	1	5	5	3	2	3	2	5	3	2	4	7	2	4	3	6	3	4	2	2	3	6	6	5	1	6	1	5	5	1	4	6	2	3	6	3	4	2	4	7	1	1	1	6	1	5
Y128	3	6	5	4	2	5	5	3	2	3	2	5	2	1	4	6	2	3	3	6	1	5	3	3	4	6	6	4	2	6	1	5	5	1	3	7	1	1	6	4	4	1	4	7	1	2	3	6	2	5
Y129	3	6	4	4	2	5	5	3	1	2	1	5	2	1	4	7	1	3	3	6	3	4	1	3	4	6	6	5	2	6	2	4	5	2	3	6	2	3	6	4	5	1	4	7	1	2	3	6	1	5
Y130	3	6	5	4	1	5	5	2	3	1	2	5	3	2	4	7	1	3	4	6	2	5	1	3	4	6	6	4	1	6	1	5	5	2	3	6	2	3	6	4	4	2	4	7	1	2	1	6	3	5
